complex_name,dG_kcal_mol,status
B1_2_acetaldehyde,-5.78,OK
"B1_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-5.68,OK
"B1_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-8.63,OK
B1_32_9-cis-Retinal,-7.09,OK
B1_33_11-cis-Retinol,-8.96,OK
B1_34_4-hydroxy-2-nonenal,-6.15,OK
B1_35_Cinnamaldehyde,-6.48,OK
B1_36_3-(4-Isopropylphenyl)-2-methylpropanal,-8.2,OK
B1_37_thiobenzaldehyde,-6.45,OK
"B1_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-5.81,OK
B1_39_4-nitrobenzaldehyde,-6.8,OK
B1_3_propylaldehyde,-5.81,OK
B1_40_Furan-2-carbaldehyde,-6.93,OK
B1_41_Indole-3-acetaldehyde,-6.31,OK
B1_42_Glutamate-5-semialdehyde,-5.54,OK
B1_43_Glutamate-1-semialdehyde,-5.59,OK
B1_44_glutarate semialdehyde,-6.55,OK
B1_45_adipate semialdehyde,-6.74,OK
B1_46_Succinic semialdehyde,-6.3,OK
B1_47_methylmalonate semialdehyde,-5.79,OK
B1_48_alpha-aminoadipate semialdehyde,-6.08,OK
B1_49_2-Aminomuconic semialdehyde,-5.49,OK
B1_4_malonaldehyde,-5.42,OK
B1_50_10-formyltetrahydrofolate,-7.12,OK
B1_51_6R-Tetrahydrofolic acid,-6.64,OK
B1_52_Triose phosphate,-5.67,OK
B1_53_Pyridoxal phosphate,-6.97,OK
B1_54_Methanol,-5.46,OK
B1_55_Ethanol,-5.4,OK
B1_56_S-hydroxy-methylglutathione,-5.88,OK
B1_57_S-3-oxopropylglutathione,-7.73,OK
B1_58_S-(4-oxobutan-2-yl)glutathione,-6.73,OK
B1_59_4-Hydroxynonenal_glutathione,-7.52,OK
B1_5_butyraldehyde,-5.78,OK
B1_60_S-Formylglutathione,-6.29,OK
B1_6_amylaldehyde,-5.81,OK
B1_7_glutaraldehyde,-5.92,OK
B1_8_hexanal,-6.88,OK
B1_9_2-hydroxypropionaldehyde,-5.64,OK
B2_10_4-guanidinobutyraldehyde,-5.11,OK
B2_11_prop-2-enal,-5.48,OK
B2_12_prop-2-ynal,-5.65,OK
B2_13_(2E)-but-2-enal,-5.72,OK
B2_14_trans-2-Hexenal,-5.96,OK
B2_15_heptanal,-7.23,OK
B2_16_octanaldehyde,-6.99,OK
B2_17_nonanal,-7.15,OK
B2_18_decanal,-7.31,OK
B2_19_dodecanal,-7.39,OK
B2_1_formaldehyde,-5.31,OK
B2_20_Citral,-7.26,OK
B2_21_cis-2-Octenal,,merge_failed
B2_22_trans-2-Octenal,-7.09,OK
B2_23_4-Hydroxynonenal,-6.46,OK
B2_24_Tetradecanal,-8.04,OK
B2_25_hexadecanal,-7.14,OK
B2_26_trans-2-hexadecenal,-7.1,OK
B2_27_Benzaldehyde,-6.11,OK
B2_28_Phenylacetaldehyde,-6.18,OK
B2_29_Salicylaldehyde,-6.25,OK
B2_2_acetaldehyde,-5.79,OK
"B2_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-6.06,OK
"B2_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-7.99,OK
B2_32_9-cis-Retinal,-10.26,OK
B2_33_11-cis-Retinol,-10.7,OK
B2_34_4-hydroxy-2-nonenal,-5.89,OK
B2_35_Cinnamaldehyde,-7.26,OK
B2_36_3-(4-Isopropylphenyl)-2-methylpropanal,-7.8,OK
B2_37_thiobenzaldehyde,-6.75,OK
"B2_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.09,OK
B2_39_4-nitrobenzaldehyde,-6.6,OK
B2_3_propylaldehyde,-5.54,OK
B2_40_Furan-2-carbaldehyde,-6.78,OK
B2_41_Indole-3-acetaldehyde,-6.36,OK
B2_42_Glutamate-5-semialdehyde,-5.83,OK
B2_43_Glutamate-1-semialdehyde,-5.58,OK
B2_44_glutarate semialdehyde,-6.29,OK
B2_45_adipate semialdehyde,-6.34,OK
B2_46_Succinic semialdehyde,-5.71,OK
B2_47_methylmalonate semialdehyde,-5.7,OK
B2_48_alpha-aminoadipate semialdehyde,-5.88,OK
B2_49_2-Aminomuconic semialdehyde,-5.86,OK
B2_4_malonaldehyde,-5.63,OK
B2_50_10-formyltetrahydrofolate,-6.72,OK
B2_51_6R-Tetrahydrofolic acid,,OK
B2_52_Triose phosphate,-5.57,OK
B2_53_Pyridoxal phosphate,,OK
B2_54_Methanol,-5.38,OK
B2_55_Ethanol,-5.78,OK
B2_56_S-hydroxy-methylglutathione,-6.35,OK
B2_57_S-3-oxopropylglutathione,-6.72,OK
B2_58_S-(4-oxobutan-2-yl)glutathione,-6.86,OK
B2_59_4-Hydroxynonenal_glutathione,-7.77,OK
B2_5_butyraldehyde,-5.74,OK
B2_60_S-Formylglutathione,-5.79,OK
B2_6_amylaldehyde,-6.42,OK
B2_7_glutaraldehyde,-5.78,OK
B2_8_hexanal,-6.56,OK
B2_9_2-hydroxypropionaldehyde,-5.65,OK
