complex,protein,substrate,total,CC,CO,CN,SC,polar,hydrophobic,dG_kcal_mol,distance_A,carbon_num
A16_57_S-3-oxopropylglutathione,A16,S-3-oxopropylglutathione,383,146,108,52,22,55,146,-8.14,3.958,
A16_57_S-3-oxopropylglutathione,A16,S-3-oxopropylglutathione,383,146,108,52,22,55,146,-8.14,6.017,
A16_58_S-(4-oxobutan-2-yl)glutathione,A16,S-(4-oxobutan-2-yl)glutathione,232,80,60,41,7,44,80,-8.53,8.432,
A16_58_S-(4-oxobutan-2-yl)glutathione,A16,S-(4-oxobutan-2-yl)glutathione,232,80,60,41,7,44,80,-8.53,11.697,
A16_58_S-(4-oxobutan-2-yl)glutathione,A16,S-(4-oxobutan-2-yl)glutathione,232,80,60,41,7,44,80,-8.53,14.094,
A16_59_4-Hydroxynonenal_glutathione,A16,4-Hydroxynonenal_glutathione,330,129,96,45,8,52,129,-8.81,9.251,
A16_59_4-Hydroxynonenal_glutathione,A16,4-Hydroxynonenal_glutathione,330,129,96,45,8,52,129,-8.81,12.747,
A16_5_butyraldehyde,A16,butyraldehyde,81,52,15,6,3,5,52,-6.24,1.981,4.0
A16_60_S-Formylglutathione,A16,S-Formylglutathione,361,121,111,57,19,53,121,-7.37,4.457,
A16_60_S-Formylglutathione,A16,S-Formylglutathione,361,121,111,57,19,53,121,-7.37,7.322,
A16_60_S-Formylglutathione,A16,S-Formylglutathione,361,121,111,57,19,53,121,-7.37,8.335,
A16_6_amylaldehyde,A16,amylaldehyde,100,66,18,7,3,6,66,-6.53,2.284,5.0
A16_7_glutaraldehyde,A16,glutaraldehyde,101,54,24,11,2,10,54,-5.73,4.258,
A16_7_glutaraldehyde,A16,glutaraldehyde,101,54,24,11,2,10,54,-5.73,8.606,
A16_8_hexanal,A16,hexanal,119,81,18,8,4,8,81,-6.74,2.716,6.0
A16_9_2-hydroxypropionaldehyde,A16,2-hydroxypropionaldehyde,55,20,26,3,0,6,20,-6.07,16.492,
A16_9_2-hydroxypropionaldehyde,A16,2-hydroxypropionaldehyde,55,20,26,3,0,6,20,-6.07,15.198,
A17-new-ALDH9A1_10_4-guanidinobutyraldehyde,A17,4-guanidinobutyraldehyde,117,50,15,36,0,16,50,-5.41,18.065,
A17-new-ALDH9A1_11_prop-2-enal,A17,prop-2-enal,37,23,6,7,0,1,23,-5.7,22.488,
A17-new-ALDH9A1_12_prop-2-ynal,A17,prop-2-ynal,34,14,16,2,0,2,14,-5.94,27.823,
A17-new-ALDH9A1_13_(2E)-but-2-enal,A17,(2E)-but-2-enal,68,34,15,6,7,6,34,-6.1,2.095,
A17-new-ALDH9A1_14_trans-2-Hexenal,A17,trans-2-Hexenal,1,1,0,0,0,0,1,-6.45,31.556,
A17-new-ALDH9A1_15_heptanal,A17,heptanal,102,54,27,7,5,9,54,-6.8,2.314,7.0
A17-new-ALDH9A1_16_octanaldehyde,A17,octanaldehyde,109,58,31,7,5,8,58,-7.03,2.526,8.0
A17-new-ALDH9A1_17_nonanal,A17,nonanal,147,93,25,15,6,8,93,-7.29,2.323,9.0
A17-new-ALDH9A1_18_decanal,A17,decanal,126,72,31,9,5,9,72,-7.52,1.991,10.0
A17-new-ALDH9A1_19_dodecanal,A17,dodecanal,168,103,35,13,9,8,103,-7.75,3.509,12.0
A17-new-ALDH9A1_1_formaldehyde,A17,formaldehyde,18,2,9,3,0,4,2,-5.22,25.878,1.0
A17-new-ALDH9A1_20_Citral,A17,Citral,170,96,38,15,9,12,96,-7.31,4.192,
A17-new-ALDH9A1_22_trans-2-Octenal,A17,trans-2-Octenal,115,62,32,11,6,4,62,-6.96,3.044,
A17-new-ALDH9A1_23_4-Hydroxynonenal,A17,4-Hydroxynonenal,124,64,30,18,4,8,64,-7.31,6.909,
A17-new-ALDH9A1_23_4-Hydroxynonenal,A17,4-Hydroxynonenal,124,64,30,18,4,8,64,-7.31,9.89,
A17-new-ALDH9A1_24_Tetradecanal,A17,Tetradecanal,189,122,35,13,11,8,122,-8.09,3.642,14.0
A17-new-ALDH9A1_25_hexadecanal,A17,hexadecanal,176,110,41,13,6,6,110,-8.95,2.604,16.0
A17-new-ALDH9A1_26_trans-2-hexadecenal,A17,trans-2-hexadecenal,236,149,49,19,10,9,149,-8.96,4.007,
A17-new-ALDH9A1_27_Benzaldehyde,A17,Benzaldehyde,108,70,19,11,5,3,70,-5.86,16.98,
A17-new-ALDH9A1_28_Phenylacetaldehyde,A17,Phenylacetaldehyde,114,64,25,16,6,3,64,-6.32,5.924,
A17-new-ALDH9A1_29_Salicylaldehyde,A17,Salicylaldehyde,13,12,1,0,0,0,12,-6.42,32.086,
A17-new-ALDH9A1_29_Salicylaldehyde,A17,Salicylaldehyde,13,12,1,0,0,0,12,-6.42,29.816,
A17-new-ALDH9A1_2_acetaldehyde,A17,acetaldehyde,26,9,11,1,0,5,9,-5.57,10.479,2.0
